"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-8,"FT8","14.076100","2022-10-15 18:33:41","United States",1665858821,"KK4TA","FM18HQ","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-14,"FT8","14.075273","2022-10-15 18:33:42","France",1665858822,"F4GTB","JN18NT","KC1QBY","FN44RG","QRP X5105 EFHW",227,
-16,"FT8","14.075349","2022-10-15 18:33:45","United States",1665858825,"KC1QBY","FN44RG","DL0PF","JN68rn16","FD4",291,
-10,"FT8","14.075456","2022-10-15 18:33:45","United States",1665858825,"KC1QBY","FN44RG","EA8BFK","IL38bo","80m Loop",291,
-5,"FT8","14.075351","2022-10-15 18:33:45","United States",1665858825,"KC1QBY","FN44RG","KEVIN","EN90vk","Inverted V",291,
6,"FT8","14.075341","2022-10-15 18:33:45","United States",1665858825,"KC1QBY","FN44RG","K1RA-PI","FM18cr","Vertical",291,
-12,"FT8","14.076317","2022-10-15 18:33:45","United States",1665858825,"W7DK","CN87SH","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-8,"FT8","14.075269","2022-10-15 18:33:45","United States",1665858825,"KC1QBY","FN44RG","W3OA","EM95mn","5 Els, 68 feet",291,
-6,"FT8","14.075340","2022-10-15 18:33:56","United States",1665858836,"KC1QBY","FN44RG","KA3PMW","EM99xw05",,291,
-6,"FT8","14.075344","2022-10-15 18:33:56","United States",1665858836,"KC1QBY","FN44RG","KD8ATF","FM09OM",,291,
-17,"FT8","14.075355","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","N9BHD","EN53HI","80-10 EFHW",291,
-2,"FT8","14.075351","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KV8C","EN82gm37",,291,
-8,"FT8","14.075353","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","DM4SH","JO30RL","Ultrabeam UB 50 @ 20m ",291,
-10,"FT8","14.075385","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KY4GD","EM95NC","Isotron",291,
-21,"FT8","14.075348","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","K0GW","EN34NW","A4S tribander",291,
-11,"FT8","14.075347","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KU0HN","EN43bx65",,291,
-16,"FT8","14.075339","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KM9G","EN35sn46",,291,
-16,"FT8","14.075342","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KD9LON","EM59fh16","Comet250",291,
-10,"FT8","14.075368","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","K0PT","EM94JD","DELTA LOOP",291,
1,"FT8","14.075347","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","N3GLZ","FM08NC",,291,
2,"FT8","14.075340","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","N4IRK","FM16vt72",,291,
-5,"FT8","14.075340","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","WC4R","FM17pg85","FTDX10D, YAGI, WILLIAMSBURG VA",291,
-12,"FT8","14.075346","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KN4LOL","FM05NS",,291,
