grid,lat,lon
AD47,-53.0,-172.0
AD48,-52.0,-172.0
AD49,-51.0,-172.0
AD50,-60.0,-170.0
AD51,-59.0,-170.0
AD52,-58.0,-170.0
AD53,-57.0,-170.0
AD54,-56.0,-170.0
AD55,-55.0,-170.0
AD56,-54.0,-170.0
AD57,-53.0,-170.0
AD58,-52.0,-170.0
AD59,-51.0,-170.0
AD60,-60.0,-168.0
AD61,-59.0,-168.0
AD62,-58.0,-168.0
AD63,-57.0,-168.0
AD64,-56.0,-168.0
AD65,-55.0,-168.0
AD66,-54.0,-168.0
AD67,-53.0,-168.0
AD68,-52.0,-168.0
AD69,-51.0,-168.0
AD70,-60.0,-166.0
AD71,-59.0,-166.0
AD72,-58.0,-166.0
AD73,-57.0,-166.0
AD74,-56.0,-166.0
AD75,-55.0,-166.0
AD76,-54.0,-166.0
AD77,-53.0,-166.0
AD78,-52.0,-166.0
AD79,-51.0,-166.0
AD80,-60.0,-164.0
AD81,-59.0,-164.0
AD82,-58.0,-164.0
AD83,-57.0,-164.0
AD84,-56.0,-164.0
AD85,-55.0,-164.0
AD86,-54.0,-164.0
AD87,-53.0,-164.0
AD88,-52.0,-164.0
AD89,-51.0,-164.0
AD90,-60.0,-162.0
AD91,-59.0,-162.0
AD92,-58.0,-162.0
AD93,-57.0,-162.0
AD94,-56.0,-162.0
AD95,-55.0,-162.0
AD96,-54.0,-162.0
AD97,-53.0,-162.0
AD98,-52.0,-162.0
AD99,-51.0,-162.0
AE00,-50.0,-180.0
AE01,-49.0,-180.0
AE02,-48.0,-180.0
AE03,-47.0,-180.0
AE04,-46.0,-180.0
AE05,-45.0,-180.0
AE06,-44.0,-180.0
AE07,-43.0,-180.0
AE08,-42.0,-180.0
AE09,-41.0,-180.0
AE10,-50.0,-178.0
AE11,-49.0,-178.0
AE12,-48.0,-178.0
AE13,-47.0,-178.0
AE14,-46.0,-178.0
AE15,-45.0,-178.0
AE16,-44.0,-178.0
AE17,-43.0,-178.0
AE18,-42.0,-178.0
AE19,-41.0,-178.0
AE20,-50.0,-176.0
AE21,-49.0,-176.0
AE22,-48.0,-176.0
AE23,-47.0,-176.0
AE24,-46.0,-176.0
AE25,-45.0,-176.0
AE26,-44.0,-176.0
AE27,-43.0,-176.0
AE28,-42.0,-176.0
AE29,-41.0,-176.0
AE30,-50.0,-174.0
AE31,-49.0,-174.0
AE32,-48.0,-174.0
AE33,-47.0,-174.0
AE34,-46.0,-174.0
AE35,-45.0,-174.0
AE36,-44.0,-174.0
AE37,-43.0,-174.0
AE38,-42.0,-174.0
AE39,-41.0,-174.0
AE40,-50.0,-172.0
AE41,-49.0,-172.0
AE42,-48.0,-172.0
AE43,-47.0,-172.0
AE44,-46.0,-172.0
AE45,-45.0,-172.0
AE46,-44.0,-172.0
AE47,-43.0,-172.0
AE48,-42.0,-172.0
AE49,-41.0,-172.0
AE50,-50.0,-170.0
AE51,-49.0,-170.0
AE52,-48.0,-170.0
AE53,-47.0,-170.0
AE54,-46.0,-170.0
AE55,-45.0,-170.0
AE56,-44.0,-170.0
AE57,-43.0,-170.0
AE58,-42.0,-170.0
AE59,-41.0,-170.0
AE60,-50.0,-168.0
AE61,-49.0,-168.0
AE62,-48.0,-168.0
AE63,-47.0,-168.0
AE64,-46.0,-168.0
AE65,-45.0,-168.0
AE66,-44.0,-168.0
AE67,-43.0,-168.0
AE68,-42.0,-168.0
AE69,-41.0,-168.0
AE70,-50.0,-166.0
AE71,-49.0,-166.0
AE72,-48.0,-166.0
AE73,-47.0,-166.0
AE74,-46.0,-166.0
AE75,-45.0,-166.0
AE76,-44.0,-166.0
AE77,-43.0,-166.0
AE78,-42.0,-166.0
AE79,-41.0,-166.0
AE80,-50.0,-164.0
AE81,-49.0,-164.0
AE82,-48.0,-164.0
AE83,-47.0,-164.0
AE84,-46.0,-164.0
AE85,-45.0,-164.0
AE86,-44.0,-164.0
AE87,-43.0,-164.0
AE88,-42.0,-164.0
AE89,-41.0,-164.0
AE90,-50.0,-162.0
AE91,-49.0,-162.0
AE92,-48.0,-162.0
AE93,-47.0,-162.0
AE94,-46.0,-162.0
AE95,-45.0,-162.0
AE96,-44.0,-162.0
AE97,-43.0,-162.0
AE98,-42.0,-162.0
AE99,-41.0,-162.0
AF00,-40.0,-180.0
AF01,-39.0,-180.0
AF02,-38.0,-180.0
AF03,-37.0,-180.0
AF04,-36.0,-180.0
AF05,-35.0,-180.0
AF06,-34.0,-180.0
AF07,-33.0,-180.0
AF08,-32.0,-180.0
AF09,-31.0,-180.0
AF10,-40.0,-178.0
AF11,-39.0,-178.0
AF12,-38.0,-178.0
AF13,-37.0,-178.0
AF14,-36.0,-178.0
AF15,-35.0,-178.0
AF16,-34.0,-178.0
AF17,-33.0,-178.0
AF18,-32.0,-178.0
AF19,-31.0,-178.0
AF20,-40.0,-176.0
AF21,-39.0,-176.0
AF22,-38.0,-176.0
AF23,-37.0,-176.0
AF24,-36.0,-176.0
AF25,-35.0,-176.0
AF26,-34.0,-176.0
AF27,-33.0,-176.0
AF28,-32.0,-176.0
AF29,-31.0,-176.0
AF30,-40.0,-174.0
AF31,-39.0,-174.0
AF32,-38.0,-174.0
AF33,-37.0,-174.0
AF34,-36.0,-174.0
AF35,-35.0,-174.0
AF36,-34.0,-174.0
AF37,-33.0,-174.0
AF38,-32.0,-174.0
AF39,-31.0,-174.0
AF40,-40.0,-172.0
AF41,-39.0,-172.0
AF42,-38.0,-172.0
AF43,-37.0,-172.0
AF44,-36.0,-172.0
AF45,-35.0,-172.0
AF46,-34.0,-172.0
AF47,-33.0,-172.0
AF48,-32.0,-172.0
AF49,-31.0,-172.0
AF50,-40.0,-170.0
AF51,-39.0,-170.0
