grid,lon_lat
AF16,"(-178.0, -34.0)"
AF17,"(-178.0, -33.0)"
AF18,"(-178.0, -32.0)"
AF19,"(-178.0, -31.0)"
AF20,"(-176.0, -40.0)"
AF21,"(-176.0, -39.0)"
AF22,"(-176.0, -38.0)"
AF23,"(-176.0, -37.0)"
AF24,"(-176.0, -36.0)"
AF25,"(-176.0, -35.0)"
AF26,"(-176.0, -34.0)"
AF27,"(-176.0, -33.0)"
AF28,"(-176.0, -32.0)"
AF29,"(-176.0, -31.0)"
AF30,"(-174.0, -40.0)"
AF31,"(-174.0, -39.0)"
AF32,"(-174.0, -38.0)"
AF33,"(-174.0, -37.0)"
AF34,"(-174.0, -36.0)"
AF35,"(-174.0, -35.0)"
AF36,"(-174.0, -34.0)"
AF37,"(-174.0, -33.0)"
AF38,"(-174.0, -32.0)"
AF39,"(-174.0, -31.0)"
AF40,"(-172.0, -40.0)"
AF41,"(-172.0, -39.0)"
AF42,"(-172.0, -38.0)"
AF43,"(-172.0, -37.0)"
AF44,"(-172.0, -36.0)"
AF45,"(-172.0, -35.0)"
AF46,"(-172.0, -34.0)"
AF47,"(-172.0, -33.0)"
AF48,"(-172.0, -32.0)"
AF49,"(-172.0, -31.0)"
AF50,"(-170.0, -40.0)"
AF51,"(-170.0, -39.0)"
AF52,"(-170.0, -38.0)"
AF53,"(-170.0, -37.0)"
AF54,"(-170.0, -36.0)"
AF55,"(-170.0, -35.0)"
AF56,"(-170.0, -34.0)"
AF57,"(-170.0, -33.0)"
AF58,"(-170.0, -32.0)"
AF59,"(-170.0, -31.0)"
AF60,"(-168.0, -40.0)"
AF61,"(-168.0, -39.0)"
AF62,"(-168.0, -38.0)"
AF63,"(-168.0, -37.0)"
AF64,"(-168.0, -36.0)"
AF65,"(-168.0, -35.0)"
AF66,"(-168.0, -34.0)"
AF67,"(-168.0, -33.0)"
AF68,"(-168.0, -32.0)"
AF69,"(-168.0, -31.0)"
AF70,"(-166.0, -40.0)"
AF71,"(-166.0, -39.0)"
AF72,"(-166.0, -38.0)"
AF73,"(-166.0, -37.0)"
AF74,"(-166.0, -36.0)"
AF75,"(-166.0, -35.0)"
AF76,"(-166.0, -34.0)"
AF77,"(-166.0, -33.0)"
AF78,"(-166.0, -32.0)"
AF79,"(-166.0, -31.0)"
AF80,"(-164.0, -40.0)"
AF81,"(-164.0, -39.0)"
AF82,"(-164.0, -38.0)"
AF83,"(-164.0, -37.0)"
AF84,"(-164.0, -36.0)"
AF85,"(-164.0, -35.0)"
AF86,"(-164.0, -34.0)"
AF87,"(-164.0, -33.0)"
AF88,"(-164.0, -32.0)"
AF89,"(-164.0, -31.0)"
AF90,"(-162.0, -40.0)"
AF91,"(-162.0, -39.0)"
AF92,"(-162.0, -38.0)"
AF93,"(-162.0, -37.0)"
AF94,"(-162.0, -36.0)"
AF95,"(-162.0, -35.0)"
AF96,"(-162.0, -34.0)"
AF97,"(-162.0, -33.0)"
AF98,"(-162.0, -32.0)"
AF99,"(-162.0, -31.0)"
AG00,"(-180.0, -30.0)"
AG01,"(-180.0, -29.0)"
AG02,"(-180.0, -28.0)"
AG03,"(-180.0, -27.0)"
AG04,"(-180.0, -26.0)"
AG05,"(-180.0, -25.0)"
AG06,"(-180.0, -24.0)"
AG07,"(-180.0, -23.0)"
AG08,"(-180.0, -22.0)"
AG09,"(-180.0, -21.0)"
AG10,"(-178.0, -30.0)"
AG11,"(-178.0, -29.0)"
AG12,"(-178.0, -28.0)"
AG13,"(-178.0, -27.0)"
AG14,"(-178.0, -26.0)"
AG15,"(-178.0, -25.0)"
AG16,"(-178.0, -24.0)"
AG17,"(-178.0, -23.0)"
AG18,"(-178.0, -22.0)"
AG19,"(-178.0, -21.0)"
AG20,"(-176.0, -30.0)"
AG21,"(-176.0, -29.0)"
AG22,"(-176.0, -28.0)"
AG23,"(-176.0, -27.0)"
AG24,"(-176.0, -26.0)"
AG25,"(-176.0, -25.0)"
AG26,"(-176.0, -24.0)"
AG27,"(-176.0, -23.0)"
AG28,"(-176.0, -22.0)"
AG29,"(-176.0, -21.0)"
AG30,"(-174.0, -30.0)"
AG31,"(-174.0, -29.0)"
AG32,"(-174.0, -28.0)"
AG33,"(-174.0, -27.0)"
AG34,"(-174.0, -26.0)"
AG35,"(-174.0, -25.0)"
AG36,"(-174.0, -24.0)"
AG37,"(-174.0, -23.0)"
AG38,"(-174.0, -22.0)"
AG39,"(-174.0, -21.0)"
AG40,"(-172.0, -30.0)"
AG41,"(-172.0, -29.0)"
AG42,"(-172.0, -28.0)"
AG43,"(-172.0, -27.0)"
AG44,"(-172.0, -26.0)"
AG45,"(-172.0, -25.0)"
AG46,"(-172.0, -24.0)"
AG47,"(-172.0, -23.0)"
AG48,"(-172.0, -22.0)"
AG49,"(-172.0, -21.0)"
AG50,"(-170.0, -30.0)"
AG51,"(-170.0, -29.0)"
AG52,"(-170.0, -28.0)"
AG53,"(-170.0, -27.0)"
AG54,"(-170.0, -26.0)"
AG55,"(-170.0, -25.0)"
AG56,"(-170.0, -24.0)"
AG57,"(-170.0, -23.0)"
AG58,"(-170.0, -22.0)"
AG59,"(-170.0, -21.0)"
AG60,"(-168.0, -30.0)"
AG61,"(-168.0, -29.0)"
AG62,"(-168.0, -28.0)"
AG63,"(-168.0, -27.0)"
AG64,"(-168.0, -26.0)"
AG65,"(-168.0, -25.0)"
AG66,"(-168.0, -24.0)"
AG67,"(-168.0, -23.0)"
AG68,"(-168.0, -22.0)"
AG69,"(-168.0, -21.0)"
AG70,"(-166.0, -30.0)"
AG71,"(-166.0, -29.0)"
AG72,"(-166.0, -28.0)"
AG73,"(-166.0, -27.0)"
AG74,"(-166.0, -26.0)"
AG75,"(-166.0, -25.0)"
AG76,"(-166.0, -24.0)"
AG77,"(-166.0, -23.0)"
AG78,"(-166.0, -22.0)"
AG79,"(-166.0, -21.0)"
AG80,"(-164.0, -30.0)"
AG81,"(-164.0, -29.0)"
AG82,"(-164.0, -28.0)"
AG83,"(-164.0, -27.0)"
AG84,"(-164.0, -26.0)"
AG85,"(-164.0, -25.0)"
AG86,"(-164.0, -24.0)"
AG87,"(-164.0, -23.0)"
AG88,"(-164.0, -22.0)"
AG89,"(-164.0, -21.0)"
AG90,"(-162.0, -30.0)"
AG91,"(-162.0, -29.0)"
AG92,"(-162.0, -28.0)"
AG93,"(-162.0, -27.0)"
AG94,"(-162.0, -26.0)"
